"filename", "language", "Python", "comment", "blank", "total"
"/home/sbhat/Desktop/inv-orca/policy/invorca.py", "Python", 5, 1, 2, 8
"/home/sbhat/Desktop/inv-orca/policy/orca.py", "Python", 1, 2, 1, 4
"/home/sbhat/Desktop/inv-orca/policy/utils/GetVelocity.py", "Python", -10, -97, -17, -124
"/home/sbhat/Desktop/inv-orca/run_comparison.py", "Python", -11, 12, 1, 2
"/home/sbhat/Desktop/inv-orca/run_sim.py", "Python", 3, 1, 0, 4
"/home/sbhat/Desktop/inv-orca/run_sim_debug.py", "Python", 2, 0, 1, 3
"/home/sbhat/Desktop/inv-orca/sim/agent.py", "Python", 2, 0, 1, 3
"/home/sbhat/Desktop/inv-orca/sim/env.py", "Python", 35, -14, 5, 26
"/home/sbhat/Desktop/inv-orca/sim/renderer.py", "Python", 52, 4, 13, 69
"/home/sbhat/Desktop/inv-orca/tests/compare_official.py", "Python", 0, 3, 2, 5
"/home/sbhat/Desktop/inv-orca/tests/test_renderer.py", "Python", 2, 1, 2, 5
"Total", "-", 81, -87, 11, 5
